gene_id,BonitaEye1,BonitaEye2,BonitaEye3,BonitaEye4,CuevaEye1,CuevaEye2,CuevaEye3,CuevaEye4,LunaEye1,LunaEye2,LunaEye3,LunaEye4,PSOEye1,PSOEye2,PSOEye3,PSOEye4
gene18156,22,0,0,0,0,32,0,0,45,0,22,5,54,65,0,0
gene18155,3,2,0,0,0,16,0,6,14,0,4,0,17,27,0,0
gene18154,31,0,2,0,0,29,0,0,19,0,22,10,42,28,0,0
gene18153,0,0,3,0,0,7,0,4,8,0,0,13,0,0,0,0
gene18152,0,0,0,0,0,4,0,0,0,0,12,0,38,13,0,0
gene18151,123,3,6,0,0,68,0,2,86,0,51,29,217,79,6,0
gene18150,6,0,9,0,0,19,6,0,29,0,12,0,0,0,9,0
gene18159,5,0,0,0,0,0,0,0,11,0,20,0,0,0,0,0
gene18158,0,0,0,0,0,0,0,0,4,0,0,0,22,0,0,0
gene22562,29,0,0,0,19,23,0,4,19,0,55,17,0,10,0,2
gene16589,49,6,14,0,0,72,0,0,47,0,35,3,65,22,0,0
gene22996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene22997,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene22994,134,0,27,21,13,279,44,8,292,10,122,66,216,155,51,31
gene22995,0,0,3,0,0,0,0,0,6,0,0,0,0,17,0,0
gene22992,5,5,0,0,0,5,0,0,0,0,0,0,124,0,0,0
gene22993,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
gene22990,0,0,0,0,0,0,0,0,13,0,7,0,12,0,0,0
gene22991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene15640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene15641,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0
gene15642,30,0,0,0,0,56,11,13,96,0,65,31,69,60,0,0
gene15643,6,3,3,0,14,17,10,0,35,0,43,49,24,27,3,0
gene15644,11,0,0,0,0,22,0,0,9,0,6,0,0,0,0,0
gene15645,13,0,0,0,11,3,0,0,3,0,3,0,0,0,0,0
gene15646,0,0,0,0,3,0,0,0,1,0,1,0,3,0,0,0
gene15647,55,0,14,4,0,481,0,9,220,0,16,30,84,13,12,0
gene23029,7,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
gene23028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene23025,11,0,11,0,0,21,0,0,6,0,0,0,32,17,3,0
gene23024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene23027,8,0,0,0,0,0,4,0,22,0,39,0,4,9,0,0
gene23026,0,0,0,14,0,29,0,0,3,0,10,15,42,6,0,0
gene23021,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
gene23020,0,0,0,0,8,17,0,0,10,0,7,23,3,3,0,0
gene23023,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
gene23022,0,0,0,0,0,23,21,6,15,0,4,6,0,0,0,0
gene14025,0,0,0,0,0,0,0,12,13,0,0,3,0,0,0,0
gene12148,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
gene12149,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene12146,0,0,0,0,0,0,0,0,19,0,13,0,11,14,0,0
gene12147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene12144,6,0,0,0,0,8,0,0,16,0,3,3,2,3,0,0
gene12145,0,0,0,0,0,0,0,0,0,0,5,3,5,0,7,0
gene12142,14,0,29,0,0,58,27,3,64,0,27,6,38,111,21,0
gene12143,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
gene12140,186,0,35,90,94,300,62,19,173,6,180,99,203,186,60,0
gene12141,0,0,3,0,0,0,0,0,23,0,11,3,28,11,8,0
gene12188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene12189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene14599,0,0,0,0,0,29,0,0,11,0,6,0,9,0,0,0
gene14598,54,0,9,20,43,147,68,3,97,0,88,17,64,123,6,0
gene14593,272,0,8,0,0,117,7,9,192,0,84,9,323,92,6,0
gene14592,14,2,2,0,24,34,0,0,38,9,14,8,22,8,0,0
gene14591,3,0,3,0,42,17,0,0,14,0,10,0,19,16,9,0
gene14590,15,0,0,0,0,25,46,6,47,0,38,0,11,27,0,9
gene14597,0,0,0,0,0,0,0,0,3,0,6,0,0,6,0,0
gene14596,9,0,0,0,0,12,0,0,17,0,0,0,8,6,0,0
gene14595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene14594,0,0,0,0,0,0,0,0,3,0,11,0,0,11,0,0
gene1200,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
gene25074,0,0,0,0,0,0,0,0,7,0,0,3,20,3,0,0
gene25075,10,0,0,0,0,11,0,0,13,0,14,0,0,0,0,0
gene18937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene25077,38,6,7,69,39,129,0,43,27,0,28,55,53,64,38,9
gene25070,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0
gene25071,8,0,0,0,44,22,4,4,4,2,38,4,0,10,0,0
gene25072,30,0,0,0,22,34,0,0,14,0,97,25,90,64,8,0
gene25073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene18939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene25079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene903,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
gene902,3,0,0,0,0,0,0,0,8,0,7,0,0,0,3,0
gene901,0,0,6,0,0,2,0,0,0,0,0,0,0,12,0,0
gene900,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
gene21912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene907,26,0,3,0,0,17,17,6,34,0,17,9,33,11,0,0
gene906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene905,0,0,0,0,0,102,0,0,46,0,84,6,41,12,0,0
gene904,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
gene21315,11,0,0,0,0,2,0,0,14,0,11,0,25,19,0,0
gene21314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene21317,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
gene21316,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11
gene21311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene21310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene21313,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
gene21312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene21914,16,0,7,0,30,57,0,0,31,0,3,11,13,19,2,0
gene21319,3,0,0,0,0,0,0,0,8,0,0,0,33,0,0,0
gene21318,0,0,4,0,3,3,0,0,0,7,0,0,22,0,0,0
gene908,8,0,0,0,0,15,0,6,14,0,3,3,18,12,6,0
gene24855,0,0,0,0,0,0,0,0,8,0,6,0,14,0,0,0
gene26367,18,0,8,17,59,48,6,16,68,0,103,19,32,127,0,0
gene23802,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
gene26366,46,0,4,7,0,23,38,0,57,0,46,0,32,39,13,0
gene24857,0,0,0,0,0,24,0,0,0,0,0,12,0,0,0,0
gene24856,32,3,15,0,0,0,0,6,9,0,3,0,57,5,0,0
gene23807,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0
gene24850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene30520,7,0,0,17,20,13,0,0,27,0,5,7,0,16,0,0
gene30521,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0
gene30522,0,0,0,10,11,105,0,0,190,0,123,33,0,11,17,0
gene30523,6,0,3,0,0,41,0,0,21,0,58,4,0,27,0,0
gene30524,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
gene23805,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0
gene10458,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
gene30527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene10456,9,0,0,0,6,4,0,0,40,0,16,3,6,3,0,0
gene10457,0,0,6,6,3,0,2,5,16,0,33,0,7,9,2,2
gene10454,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene10455,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0
gene10452,3,0,0,0,0,0,0,0,19,0,8,5,32,9,0,0
gene10453,32,0,8,0,0,49,0,0,38,0,88,0,76,39,9,0
gene10450,54,5,12,29,34,157,0,0,71,2,31,37,82,47,0,0
gene23709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene17101,9,0,0,0,0,21,0,0,9,0,0,0,11,10,0,0
gene17100,16,0,6,0,0,16,0,3,18,0,22,6,0,25,0,0
